,word,freq
969,authenticity,1
970,awesome,1
971,bryant,3
972,discuss,1
973,going,1
974,incredibly,1
975,instantly,1
976,ive,1
977,knew,1
978,makes,1
979,met,1
980,purchased,1
981,refinanced,1
982,small,1
983,loan_officer,1
984,get,1
985,possible,1
986,best,1
987,could,1
988,best_rate,1
989,exceeded_expectations,1
990,highly_recommended,1
991,hoped,1
992,jeff,1
993,worked_hard,1
994,process,2
995,professional,1
996,helpful,1
997,highly_recommend,1
998,loan,2
999,help,1
1000,smooth,1
1001,answered,1
1002,easy,1
1003,questions,1
1004,knowledgeable,1
1005,one,1
1006,home,1
1007,made,1
1008,transaction,1
1009,work,1
1010,refi,2
1011,gone,1
1012,years,1
1013,several,1
1014,since,1
1015,start,1
1016,adam,3
1017,agai,1
1018,attention,1
1019,confident,1
1020,detail,1
1021,great_work,1
1022,hesitate,1
1023,talking,1
1024,thru,1
1025,timely_manner,1
1026,unsure,1
1027,weve,1
1028,process,1
1029,mortgage,1
1030,responsive,1
1031,back,1
1032,easy,1
1033,got,1
1034,questions,1
1035,always,1
1036,knowledgeable,1
1037,quickly,1
1038,great,1
1039,made,1
1040,answers,1
1041,tedious,1
1042,website,1
1043,mortgage,2
1044,closing,1
1045,easy,1
1046,knowledgeable,1
1047,definitely_recommend,1
1048,best,1
1049,home,1
1050,made,1
1051,request,1
1052,entire_process,1
1053,nasb,2
1054,far,1
1055,lending_tree,1
1056,anyone_looking,1
1057,alex_madewell,2
1058,banks,1
1059,multiple,1
1060,offer,1
1061,offers,1
1062,received,1
1063,seamless,1
1064,surprises,1
1065,helpful,1
1066,loan,1
1067,time,1
1068,done,1
1069,closed,1
1070,get,1
1071,didnt,1
1072,know,1
1073,end,1
1074,issues,1
1075,getting,1
1076,able,1
1077,rob,1
1078,still,1
1079,professional,1
1080,encountered,1
1081,team,1
1082,time,1
1083,closing,1
1084,answered,1
1085,got,1
1086,questions,1
1087,responses,1
1088,despite,1
1089,great_work,1
1090,peter,1
1091,prompt,1
1092,roadblocks,1
1093,somehow,1
1094,various,1
1095,professional,1
1096,beyond,1
1097,communication,1
1098,closed,1
1099,knowledgeable,1
1100,first_time,1
1101,brought,1
1102,recommend,1
1103,touch,1
1104,friendly,1
1105,highly_recommended,1
1106,worked_hard,1
1107,adam,1
1108,aspects,1
1109,buying_house,1
1110,came,1
1111,clear,1
1112,congratulations,1
1113,effective,1
1114,ensure,1
1115,everyone_know,1
1116,hand,1
1117,necessary,1
1118,note,1
1119,personal,1
1120,sending,1
1121,skills,1
1122,spoke,1
1123,taken_care,1
1124,written,1
1125,process,1
1126,mortgage,1
1127,service,1
1128,loan,5
1129,customer_service,1
1130,closing,1
1131,everything,1
1132,email,1
1133,using,1
1134,another,1
1135,anything,1
1136,business,1
1137,sell,1
1138,told,1
1139,first,2
1140,made,1
1141,last,1
1142,said,2
1143,specifically,1
1144,complete,1
1145,every,1
1146,never,1
1147,request,1
1148,changed,1
1149,charge,1
1150,call,1
1151,hung,1
1152,nasb,3
1153,two,2
1154,change,1
1155,years,1
1156,called,1
1157,current,1
1158,website,2
1159,banks,2
1160,received,1
1161,various,1
1162,spoke,1
1163,account,3
1164,actually,1
1165,adjust,1
1166,adjusted,1
1167,agent,2
1168,amount,3
1169,apply,1
1170,automatic_payments,2
1171,automatically,2
1172,balance,1
1173,capable,1
1174,clunky,1
1175,confirmation,1
1176,credit_counseling,2
1177,debit,1
1178,debited,3
1179,default_department,2
1180,deficiency,2
1181,department,1
1182,disaster,1
1183,double,1
1184,earlier,1
1185,entries,1
1186,error,1
1187,escrow,1
1188,experienced,1
1189,external,1
1190,however,1
1191,incompetence,1
1192,instructed,1
1193,intuitive,1
1194,late,1
1195,letter,3
1196,mail,1
1197,man,1
1198,messages,1
1199,minutes,1
1200,months,1
1201,nasbs,2
1202,old,1
1203,payment,2
1204,payments,2
1205,performing,1
1206,problem,1
1207,provide,1
1208,record,1
1209,representative,1
1210,rude,2
1211,scheduled,1
1212,second,1
1213,sent,3
1214,services,1
1215,servicing,3
1216,set,2
1217,show,1
1218,showed,1
1219,showing,1
1220,socalled,1
1221,span,1
1222,suggested,1
1223,system,1
1224,telling,1
1225,total,1
1226,unlike,2
1227,used,1
1228,veteran,1
1229,voice,1
1230,weeks_later,1
1231,went_smoothly,1
1232,woman,1
1233,much,1
1234,experience,1
1235,less,1
1236,everything,1
1237,purchase,1
1238,recommend,1
1239,new_home,1
1240,never,1
1241,wouldnt,1
1242,accepted,1
1243,doghouse,1
1244,errors,1
1245,imaginable,1
1246,miserable,1
1247,purchasing,1
1248,responsibility,1
1249,screwed,1
1250,process,2
1251,refinance,1
1252,thank,1
1253,mortgage,1
1254,loan,1
1255,happy,1
1256,loan_officer,1
1257,done,1
1258,email,1
1259,sure,1
1260,people,1
1261,told,1
1262,communicate,1
1263,werent,1
1264,also,1
1265,didnt,1
1266,house,2
1267,even,1
1268,recommend,1
1269,end,1
1270,appraiser,1
1271,could,1
1272,documents,1
1273,never,1
1274,good,1
1275,lower,1
1276,sign,1
1277,nasb,1
1278,two,1
1279,comps,1
1280,look,1
1281,called,1
1282,current,1
1283,talking,1
1284,used,1
1285,actual,1
1286,already,1
1287,appraise,1
1288,appraising,1
1289,causing,1
1290,committed,2
1291,communicated,1
1292,competent,1
1293,contacted,2
1294,disorganized,1
1295,expired,1
1296,forgot,1
1297,goodness,1
1298,idea,1
1299,items,1
1300,kang,1
1301,notary,1
1302,notifications,1
1303,pictures,1
1304,poor,3
1305,poor_communication,2
1306,problems,1
1307,questioned,2
1308,rate_lock_expired,1
1309,refinancing,1
1310,settlement,1
1311,settling,1
1312,several_times,1
1313,steer_clear,1
1314,steve,1
1315,sweet,1
1316,twice,1
1317,unless,1
1318,within_minutes,1
1319,loan,1
1320,company,1
1321,possible,1
1322,made,1
1323,want,1
1324,even,1
1325,things,1
1326,credit_card,1
1327,due,1
1328,years,1
1329,called,2
1330,going,1
1331,earlier,1
1332,problem,1
1333,several_times,1
1334,busness,1
1335,emailed,1
1336,fro,1
1337,must,1
1338,never_heard,1
1339,nick,2
1340,response,3
1341,started_refinance,1
1342,supervisor,1
1343,understood,1
1344,process,3
1345,professional,1
1346,mortgage,1
1347,experience,1
1348,loan,3
1349,needed,1
1350,beginning,1
1351,started,1
1352,time,2
1353,provided,1
1354,conversation,1
1355,back,1
1356,done,1
1357,everything,1
1358,closed,1
1359,email,2
1360,later,1
1361,questions,1
1362,weeks,2
1363,another,1
1364,get,1
1365,one,1
1366,say,1
1367,told,1
1368,application,1
1369,great,2
1370,first,1
1371,well,1
1372,deal,1
1373,didnt,1
1374,home,1
1375,made,2
1376,quite,1
